profits_percent_change,market_value
1.20%,"$409,795 "
56.40%,"$1,658,807.30 "
64.90%,"$2,849,537.60 "
10.20%,"$132,839.20 "
12.20%,"$479,830.30 "
-,"$349,652.40 "
111.20%,"$779,542.30 "
88.80%,"$1,842,326.10 "
604.30%,"$45,857.80 "
-,"$32,355.70 "
25.10%,"$255,230.70 "
-36.60%,"$76,286.30 "
-,"$169,262.40 "
38.40%,"$2,311,358.90 "
-,"$15,709.40 "
-,"$317,120.10 "
27.70%,"$309,312.60 "
457.50%,"$38,671.10 "
-,"$47,758.10 "
33.50%,"$118,533.50 "
-36%,"$41,496.20 "
-,"$67,958.20 "
24%,"$213,837.10 "
65.90%,"$402,526.90 "
55.90%,"$63,555.20 "
-25.50%,"$49,072.20 "
35.10%,"$605,251 "
34.40%,"$212,245.80 "
-,"$41,561 "
-,"$41,572.20 "
71.20%,"$38,164.40 "
59%,"$98,134.40 "
87.90%,$909.10
859.80%,"$186,816.60 "
44.70%,"$133,761.10 "
78.70%,"$332,433.30 "
41.90%,"$466,046.70 "
52.90%,"$50,769.20 "
306.80%,"$59,971.30 "
-12.90%,"$55,154.90 "
552.80%,"$184,225 "
-65.70%,-
128.60%,"$292,385.30 "
98.70%,"$105,330.10 "
7%,"$231,528.20 "
-4.90%,"$202,635.80 "
9.80%,"$366,271.60 "
-214.30%,"$100,810.20 "
2.70%,"$116,928.30 "
21.20%,"$57,986.50 "
-,"$44,482.20 "
82.30%,"$16,063.70 "
-,"$249,718.10 "
-,"$34,496.90 "
-7.60%,"$117,648.20 "
65.30%,$510.30
128.70%,"$117,667.60 "
-,"$147,640.90 "
128.70%,"$38,237.20 "
-,"$113,058.70 "
36.70%,"$155,685.60 "
85.30%,"$75,691.90 "
150%,"$286,332.40 "
415.20%,"$46,839.70 "
665.50%,"$1,113,707.80 "
-71.30%,"$38,553.70 "
-,"$50,608.20 "
36.50%,"$20,473.20 "
44.40%,"$112,803.40 "
143.30%,"$41,433.10 "
84.60%,"$207,400.50 "
-,-
116.40%,"$119,406.60 "
-5.60%,"$231,636.40 "
3528.60%,"$71,195.30 "
11.10%,-
-,"$129,605.10 "
304.70%,-
-41.30%,"$66,670.30 "
-,-
47.80%,"$32,487.80 "
-,"$155,203.50 "
125.60%,"$212,779.10 "
116.80%,"$127,456.60 "
157.10%,"$141,613 "
57.30%,"$208,725.80 "
-31.40%,"$1,494.40 "
-,"$2,242.90 "
22.80%,"$56,172.40 "
627.60%,-
35.60%,"$220,736.60 "
21.20%,"$231,057.40 "
26.10%,"$268,769.70 "
2.80%,"$67,081 "
31.10%,-
-15.50%,-
130.10%,-
846.30%,"$39,954 "
-13.10%,"$46,683.90 "
-,-
119.70%,"$69,811.90 "
10%,"$84,738.30 "
35.80%,"$44,129.40 "
89.60%,"$7,951.30 "
16%,"$133,381 "
-9.60%,"$50,953 "
74%,"$172,228.10 "
356.50%,"$53,260.40 "
-25.30%,"$9,853.60 "
13.10%,"$145,614.70 "
-32.80%,"$1,715.50 "
-,"$7,880.90 "
-,"$25,322 "
-,"$11,847.20 "
85.30%,"$166,304.10 "
87.60%,"$24,628.80 "
-,"$8,392.30 "
76.40%,"$209,993.40 "
1191%,"$8,857.30 "
352.40%,"$104,642.80 "
21%,"$87,159.20 "
-9.90%,"$272,723.60 "
-,"$21,725.30 "
75.90%,"$26,403.20 "
-2.10%,"$19,572.90 "
144.20%,"$30,414.20 "
118.10%,"$86,977.20 "
127.60%,"$257,086.50 "
4961%,"$74,656.50 "
-,"$2,932.60 "
79.70%,"$23,413 "
-,"$2,409.30 "
328.80%,"$9,289 "
125.10%,"$684,878.60 "
-,"$53,160.20 "
-64.50%,"$210,196.80 "
-1%,"$36,051.40 "
133%,"$51,542.90 "
184.30%,"$48,248.60 "
-18.90%,"$134,700.80 "
259.80%,"$6,111.40 "
118.50%,"$7,196.70 "
-0.80%,"$134,732.80 "
-,"$7,123.20 "
183.80%,"$85,967 "
-,"$15,049.70 "
13.30%,"$480,022.50 "
-,$488.10
19.10%,"$29,140.90 "
60.60%,"$78,929.80 "
42.60%,"$30,619.70 "
59.50%,"$183,873.60 "
-23.30%,"$76,877 "
66.70%,"$13,855.80 "
43.70%,"$75,353.90 "
62.70%,"$116,431.40 "
618.90%,"$72,360.80 "
125.40%,"$8,909.80 "
460.30%,"$88,907.20 "
36.20%,"$23,815.60 "
-9.50%,"$41,812.80 "
64.90%,"$10,101.20 "
21.90%,"$171,681.60 "
263.50%,"$17,301.10 "
-44.60%,"$94,951.70 "
25.40%,"$24,140.20 "
1506.70%,"$5,025.60 "
-,"$29,433.70 "
-16%,"$39,127.40 "
-,"$37,410.20 "
-,"$16,891.20 "
-,"$9,832.30 "
139.40%,"$75,749.10 "
-15.90%,"$15,598.90 "
-8.20%,"$65,037.90 "
450.30%,"$11,408.90 "
55.90%,"$85,681.30 "
-24.50%,"$77,203.40 "
-,"$11,533.40 "
-,"$4,016.90 "
129.10%,"$9,387.60 "
-22.90%,"$41,496.10 "
-,"$7,774.60 "
19.60%,"$116,186.20 "
138.90%,"$11,945.50 "
135.90%,"$8,513.10 "
181.60%,"$11,271.60 "
77.50%,"$159,675.90 "
1917.50%,"$31,741.70 "
35.50%,"$349,330.50 "
-,"$17,888.10 "
-,"$12,379 "
-,"$69,796 "
53.50%,"$47,035 "
-,"$69,424.30 "
483.50%,"$15,811.50 "
-,"$8,895.80 "
38.90%,"$169,329.60 "
17.20%,"$58,241.70 "
362.80%,"$6,598.50 "
7.30%,"$40,781.80 "
-,"$1,523 "
21.40%,"$65,802.80 "
-,"$13,160.20 "
36.80%,"$16,743.10 "
65%,"$47,969.60 "
-,"$7,977.30 "
-22%,"$78,655.90 "
-,"$4,029.30 "
-,"$69,753 "
-19.60%,"$63,742.20 "
36.90%,"$22,843.30 "
-,"$37,739.70 "
24.70%,"$100,978.10 "
22.40%,"$166,264.10 "
-,"$17,243.80 "
-,"$15,536.40 "
35.90%,"$30,951.90 "
13.10%,"$50,338.60 "
-,"$5,206.60 "
1.30%,"$9,146.90 "
48.70%,"$7,354.60 "
1399.20%,"$42,878.10 "
144.70%,"$31,516 "
103.30%,"$17,268.80 "
27%,"$177,936.10 "
39.20%,"$66,132.80 "
319.60%,"$97,672.10 "
3.90%,"$40,056.70 "
52.80%,"$24,625.80 "
129.90%,"$75,806 "
8.50%,-
-,"$35,272.30 "
-,"$27,129.30 "
-8.30%,"$215,280.50 "
204.80%,"$18,145.50 "
158.30%,"$41,774.90 "
69.70%,"$13,849.60 "
-33.70%,"$25,614.60 "
2.80%,"$4,888.60 "
-,"$34,028.90 "
5.40%,"$95,577.10 "
2.70%,"$26,693.80 "
7.40%,"$9,335 "
-,"$4,321.30 "
-,"$15,971.30 "
1128.50%,-
-,"$60,728.30 "
25.20%,"$40,582.60 "
73.60%,"$74,996.70 "
82.20%,-
27.70%,"$65,311.90 "
44.70%,"$36,456.80 "
37.50%,"$32,700.90 "
48.90%,"$17,565.70 "
22.60%,"$19,176.70 "
-,"$68,883 "
18.90%,"$21,890.20 "
-,"$4,051.70 "
-,"$10,856.50 "
282.80%,"$11,313.50 "
-3%,"$17,807.40 "
272.30%,"$31,212.80 "
-,-
-71.80%,"$1,807.40 "
-,-
38.30%,"$10,115.70 "
163.90%,"$61,215.10 "
246.20%,"$44,140.80 "
-,"$57,514.90 "
31.10%,"$7,832.40 "
50.10%,"$28,909.10 "
92.70%,"$2,859.90 "
19.90%,"$14,727.70 "
-170.80%,"$11,641.60 "
22.30%,"$33,525.30 "
79.90%,"$33,213 "
8.40%,"$39,275.90 "
23.50%,"$45,410.40 "
-40.50%,$927.10
377.60%,"$31,076.70 "
55.70%,"$21,905.90 "
70.90%,"$12,941.40 "
50.10%,"$26,358 "
9.10%,"$18,779.50 "
-196.70%,"$15,460.60 "
115.20%,"$21,423.20 "
-66.50%,"$53,087.60 "
197.20%,"$20,037.50 "
-,"$19,549.50 "
205.50%,"$8,356.90 "
16.50%,"$39,017.90 "
-,"$50,548.40 "
33.10%,"$26,171.60 "
1248.70%,"$1,708.20 "
62%,"$53,748.20 "
5%,"$10,843.10 "
36.70%,"$81,587.80 "
56.30%,"$11,960.10 "
-,"$1,728.80 "
140.10%,"$33,641.90 "
141.40%,"$16,090.60 "
24.90%,-
-55%,"$1,598.60 "
144.80%,"$24,492.60 "
195.90%,"$4,330.90 "
186.60%,"$7,986.60 "
-58.80%,"$62,968.10 "
-,"$39,274.10 "
-17.50%,"$12,700.50 "
50.30%,"$21,052.90 "
-,"$16,603.40 "
-8.80%,-
-,"$9,655.50 "
-300.30%,"$10,434.70 "
11.30%,"$31,891.80 "
3.90%,"$6,382.80 "
917.10%,"$11,396.10 "
